customer_id,dnc_source,dnc_date
C10014,TRAI,2026-03-08
C10037,TRAI,2026-03-09
C10055,TRAI,2025-07-03
C10077,Internal,2025-06-20
C10147,Internal,2025-12-19
C10154,Internal,2026-01-09
C10167,Internal,2026-01-13
C10183,TRAI,2025-09-24
C10190,Customer Request,2025-10-26
C10227,TRAI,2025-10-31
C10230,TRAI,2025-07-03
C10246,Customer Request,2025-06-26
C10260,Internal,2026-02-14
C10278,Customer Request,2025-05-28
C10323,TRAI,2025-09-07
C10330,TRAI,2025-11-04
C10339,TRAI,2025-05-25
C10342,TRAI,2025-11-18
C10371,TRAI,2026-02-20
C10394,TRAI,2025-11-09
C10399,TRAI,2025-07-16
C10411,Internal,2025-08-30
C10417,TRAI,2025-12-13
C10450,TRAI,2025-06-04
C10451,Customer Request,2025-11-20
C10465,Internal,2025-11-07
C10489,Customer Request,2025-10-02
C10498,Internal,2026-02-03
C10519,Internal,2026-01-12
C10536,TRAI,2025-12-13
C10542,TRAI,2025-06-23
C10543,TRAI,2025-08-21
C10547,TRAI,2025-07-19
C10608,Internal,2025-10-06
C10618,Internal,2026-01-29
C10624,Customer Request,2026-03-10
C10643,Internal,2025-12-02
C10651,Internal,2025-05-30
C10659,Internal,2025-04-30
C10660,TRAI,2025-07-20
C10681,Internal,2025-05-16
C10687,Customer Request,2025-12-04
C10706,TRAI,2025-12-27
C10736,TRAI,2025-08-17
C10738,TRAI,2025-11-15
C10739,Internal,2025-04-23
C10740,TRAI,2025-09-24
C10753,TRAI,2025-04-12
C10758,Customer Request,2025-10-08
C10800,TRAI,2025-11-29
C10829,TRAI,2025-08-12
C10844,Customer Request,2026-02-12
C10847,TRAI,2025-10-22
C10861,TRAI,2026-02-20
C10865,TRAI,2025-06-21
C10885,Customer Request,2025-09-05
C10888,Customer Request,2026-01-30
C10889,TRAI,2025-06-29
C10922,TRAI,2025-04-22
C10931,Customer Request,2026-02-04
C10934,TRAI,2025-08-04
C10952,TRAI,2025-11-13
C10954,Internal,2025-11-01
C10961,Internal,2025-08-25
C10967,Internal,2025-10-03
C10982,Customer Request,2025-10-26
C10984,TRAI,2026-02-04
C10993,TRAI,2026-01-04
C10995,TRAI,2025-12-25
C11013,TRAI,2025-12-20
C11024,Customer Request,2025-07-19
C11036,Internal,2025-08-18
C11044,TRAI,2025-06-13
C11046,Internal,2025-11-28
C11072,Customer Request,2025-10-08
C11075,Customer Request,2025-10-30
C11100,TRAI,2026-01-27
C11102,TRAI,2025-03-28
C11116,Internal,2025-05-10
C11118,TRAI,2025-11-24
C11122,Internal,2025-12-29
C11157,TRAI,2025-11-07
C11175,Internal,2025-08-24
C11197,TRAI,2025-04-02
C11198,Internal,2025-11-01
C11201,TRAI,2026-02-27
C11205,Customer Request,2025-07-26
C11211,TRAI,2026-01-25
C11214,Customer Request,2026-01-21
C11231,TRAI,2026-01-11
C11266,TRAI,2026-02-11
C11277,TRAI,2026-01-07
C11286,TRAI,2025-08-21
C11303,Internal,2025-03-28
C11316,TRAI,2025-05-20
C11363,Internal,2026-02-04
C11370,TRAI,2026-02-09
C11372,TRAI,2025-04-18
C11377,Customer Request,2026-01-08
C11393,TRAI,2025-09-26
C11395,TRAI,2026-02-21
C11397,Customer Request,2026-02-17
C11401,TRAI,2025-05-25
C11417,Customer Request,2025-08-24
C11434,Customer Request,2026-02-27
C11461,Customer Request,2025-03-30
C11468,Customer Request,2025-12-16
C11488,Internal,2025-11-25
C11494,TRAI,2025-10-25
C11495,Internal,2025-07-29
C11496,TRAI,2026-02-25
C11500,TRAI,2025-04-17
C11503,Internal,2025-07-02
C11512,Customer Request,2025-06-06
C11518,Customer Request,2026-02-11
C11523,TRAI,2025-10-22
C11553,Customer Request,2026-01-03
C11590,Customer Request,2025-12-02
C11619,TRAI,2025-04-26
C11635,TRAI,2025-08-31
C11644,Internal,2025-07-12
C11648,Customer Request,2025-09-19
C11649,Internal,2025-08-28
C11652,Internal,2025-12-12
C11670,TRAI,2025-10-02
C11678,TRAI,2026-02-27
C11686,Internal,2026-02-13
C11693,Customer Request,2025-06-16
C11703,Internal,2025-05-19
C11715,TRAI,2025-12-23
C11738,TRAI,2025-11-08
C11784,TRAI,2025-10-29
C11793,TRAI,2025-11-22
C11838,Customer Request,2025-09-14
C11846,TRAI,2025-12-14
C11852,TRAI,2025-05-15
C11865,Internal,2025-09-12
C11887,TRAI,2025-09-15
C11894,TRAI,2025-05-30
C11928,TRAI,2025-07-05
C11930,Internal,2025-12-15
C11952,Customer Request,2026-02-23
C11963,TRAI,2026-02-14
C11967,TRAI,2025-05-10
C11971,TRAI,2026-03-04
C11973,Customer Request,2026-03-14
C11996,Internal,2025-05-04
C12009,TRAI,2026-01-07
C12011,Internal,2025-12-14
C12021,Internal,2026-02-12
C12028,TRAI,2025-12-29
C12029,TRAI,2026-01-17
C12038,Internal,2026-02-05
C12074,Internal,2025-04-09
C12088,Customer Request,2025-05-18
C12101,TRAI,2025-09-23
C12104,Internal,2025-09-30
C12113,TRAI,2025-12-24
C12122,Customer Request,2025-04-21
C12126,Customer Request,2025-04-16
C12132,Internal,2025-12-15
C12136,Internal,2025-11-20
C12155,TRAI,2025-09-02
C12162,Internal,2025-03-27
C12176,Internal,2026-01-08
C12181,TRAI,2026-03-14
C12182,Customer Request,2025-05-28
C12202,TRAI,2025-12-11
C12203,Internal,2025-05-05
C12208,TRAI,2025-04-21
C12216,TRAI,2025-07-03
C12226,TRAI,2025-09-26
C12235,TRAI,2025-11-13
C12245,Internal,2025-10-02
C12252,TRAI,2025-04-23
C12262,TRAI,2025-04-05
C12267,Internal,2025-07-29
C12276,TRAI,2025-10-30
C12286,TRAI,2025-11-07
C12299,TRAI,2025-09-16
C12303,Internal,2026-01-18
C12320,TRAI,2026-02-18
C12332,Customer Request,2025-08-02
C12343,Customer Request,2025-12-19
C12346,Customer Request,2025-07-05
C12369,Customer Request,2025-09-16
C12384,Customer Request,2026-01-22
C12385,Customer Request,2025-05-23
C12391,TRAI,2025-12-21
C12402,Customer Request,2026-02-05
C12431,TRAI,2025-10-15
C12456,TRAI,2025-10-02
C12476,Internal,2026-01-20
C12532,TRAI,2025-09-20
C12538,TRAI,2025-09-03
C12544,TRAI,2026-02-04
C12546,TRAI,2025-09-22
C12565,Customer Request,2026-02-27
C12597,Customer Request,2025-04-14
C12616,TRAI,2025-05-08
C12639,Customer Request,2025-12-24
C12642,TRAI,2026-01-22
C12652,Internal,2025-11-29
C12698,TRAI,2025-08-17
C12712,Internal,2025-04-10
C12736,Internal,2025-10-13
C12764,TRAI,2026-01-24
C12769,TRAI,2025-08-25
C12773,Customer Request,2025-12-26
C12788,TRAI,2025-09-11
C12799,TRAI,2025-08-08
C12810,TRAI,2025-10-15
C12817,Customer Request,2025-12-02
C12821,TRAI,2026-03-01
C12850,TRAI,2025-12-17
C12859,Internal,2026-02-01
C12869,Customer Request,2026-01-14
C12877,Internal,2025-08-23
C12887,Customer Request,2025-07-07
C12890,Internal,2026-01-27
C12895,Customer Request,2025-12-10
C12901,Internal,2025-08-31
C12908,Internal,2025-12-09
C12927,Customer Request,2026-02-20
C12939,Internal,2025-08-01
C12948,Customer Request,2025-10-31
C12974,TRAI,2025-10-28
C12988,TRAI,2025-12-27
C13010,TRAI,2026-01-30
C13017,Internal,2025-06-10
C13036,Customer Request,2025-05-17
C13039,TRAI,2025-06-04
C13082,TRAI,2025-08-28
C13121,Customer Request,2025-06-13
C13132,Customer Request,2025-05-25
C13144,TRAI,2025-07-14
C13151,Internal,2026-02-02
C13170,Customer Request,2026-02-25
C13175,TRAI,2026-01-12
C13214,Customer Request,2025-12-16
C13237,TRAI,2025-11-26
C13256,TRAI,2026-01-09
C13290,TRAI,2025-08-10
C13338,TRAI,2025-03-30
C13366,Customer Request,2025-12-01
C13378,TRAI,2025-05-14
C13383,Internal,2025-10-02
C13393,TRAI,2026-01-29
C13413,Customer Request,2025-06-03
C13416,Customer Request,2025-06-05
C13429,Internal,2025-10-24
C13448,Customer Request,2026-03-08
C13483,Customer Request,2026-01-16
C13487,Customer Request,2025-12-28
C13491,TRAI,2025-05-28
C13495,TRAI,2026-01-19
C13504,TRAI,2025-10-19
C13512,Internal,2025-08-16
C13513,Internal,2025-08-30
C13535,Customer Request,2025-05-26
C13540,Customer Request,2026-02-23
C13543,TRAI,2025-10-24
C13598,Customer Request,2025-12-31
C13601,Customer Request,2026-02-23
C13602,Customer Request,2025-09-26
C13608,TRAI,2026-02-17
C13628,Customer Request,2025-10-28
C13644,Internal,2026-03-04
C13645,Internal,2025-10-10
C13675,Internal,2025-10-22
C13681,Customer Request,2025-03-29
C13711,TRAI,2025-11-18
C13726,TRAI,2025-10-12
C13733,Customer Request,2025-10-01
C13742,Internal,2025-08-13
C13759,TRAI,2025-12-08
C13775,Customer Request,2025-11-26
C13782,Customer Request,2025-07-09
C13783,Internal,2026-02-14
C13786,TRAI,2026-02-09
C13787,Internal,2025-06-28
C13795,Customer Request,2026-01-04
C13809,TRAI,2025-12-16
C13831,TRAI,2025-12-02
C13849,TRAI,2025-11-07
C13870,TRAI,2025-07-24
C13881,TRAI,2025-09-11
C13882,TRAI,2025-10-25
C13883,Internal,2025-07-20
C13885,Customer Request,2025-04-23
C13895,TRAI,2025-03-31
C13920,TRAI,2025-11-11
C13934,Internal,2025-07-07
C13941,Customer Request,2025-12-14
C13946,Customer Request,2025-05-18
C13948,Internal,2025-09-19
C13949,TRAI,2025-11-02
C13974,TRAI,2025-10-20
C14008,TRAI,2025-08-29
C14016,TRAI,2025-12-21
C14044,TRAI,2025-11-21
C14046,TRAI,2025-04-02
C14051,TRAI,2025-10-28
C14058,Customer Request,2025-06-25
C14079,TRAI,2025-03-30
C14090,TRAI,2025-07-15
C14109,TRAI,2025-04-17
C14120,TRAI,2025-05-11
C14122,TRAI,2025-11-20
C14128,Internal,2025-05-07
C14131,Internal,2025-04-19
C14134,Internal,2025-08-10
C14221,Customer Request,2025-09-17
C14223,Customer Request,2025-11-05
C14306,TRAI,2025-07-19
C14321,Internal,2025-04-02
