customer_id,outstanding_amount,current_utilization,min_due,payment_day,days_to_payment,existing_emi_count,past_emi_conversions,emi_eligible,max_emi_tenure
C10001,0,0.0,0,5,12,0,1,false,3
C10002,0,0.0,0,1,8,1,2,false,3
C10003,0,0.0,0,1,8,0,0,false,3
C10004,0,0.0,0,15,22,0,0,false,3
C10005,73290,13.1,3664,15,22,0,0,true,12
C10006,177870,74.1,8893,1,8,0,1,true,12
C10007,0,0.0,0,15,22,0,0,false,3
C10008,0,0.0,0,1,8,0,0,false,3
C10009,2944,1.8,147,5,12,1,3,false,3
C10010,0,0.0,0,1,8,1,2,false,3
C10011,7410,0.9,370,5,12,2,0,false,3
C10012,3059,3.8,152,5,12,1,1,false,3
C10013,0,0.0,0,10,17,1,3,false,3
C10014,72727,72.7,3636,1,8,0,2,true,9
C10015,2856,4.1,142,15,22,1,2,false,3
C10016,0,0.0,0,15,22,0,0,false,3
C10017,0,0.0,0,1,8,0,2,false,3
C10018,0,0.0,0,5,12,0,0,false,3
C10019,0,0.0,0,15,22,1,2,false,3
C10020,30066,60.1,1503,1,8,1,1,true,12
C10021,11983,4.4,599,1,8,0,1,true,3
C10022,0,0.0,0,1,8,0,3,false,3
C10023,0,0.0,0,10,17,1,0,false,3
C10024,0,0.0,0,5,12,2,0,false,3
C10025,81125,37.7,4056,1,8,1,0,true,9
C10026,34455,18.6,1722,20,27,0,0,false,9
C10027,0,0.0,0,5,12,0,1,false,3
C10028,2182,4.4,109,1,8,3,0,false,3
C10029,0,0.0,0,1,8,0,0,false,3
C10030,0,0.0,0,1,8,1,1,false,3
C10031,31183,4.5,1559,10,17,0,2,true,6
C10032,121039,71.2,6051,20,27,0,0,true,12
C10033,6138,4.1,306,20,27,0,1,false,3
C10034,86538,39.3,4326,15,22,1,1,true,9
C10035,14262,4.8,713,5,12,0,0,true,6
C10036,31139,77.8,1556,20,27,0,0,true,9
C10037,76000,95.0,3800,10,17,0,3,true,12
C10038,0,0.0,0,15,22,0,1,false,3
C10039,598,0.7,29,5,12,0,0,false,3
C10040,0,0.0,0,20,27,0,2,false,3
C10041,14628,8.1,731,10,17,0,0,true,6
C10042,52250,95.0,2612,1,8,0,2,true,12
C10043,120200,30.0,6010,15,22,0,0,true,12
C10044,53750,26.9,2687,1,8,1,0,true,9
C10045,113566,30.3,5678,5,12,1,1,true,12
C10046,0,0.0,0,1,8,0,3,false,3
C10047,3623,0.8,181,10,17,0,2,false,3
C10048,0,0.0,0,1,8,2,1,false,3
C10049,26600,88.7,1330,5,12,3,1,true,12
C10050,0,0.0,0,1,8,2,0,false,3
C10051,42750,95.0,2137,15,22,0,0,true,6
C10052,16661,10.4,833,15,22,3,0,true,6
C10053,0,0.0,0,5,12,0,1,false,3
C10054,0,0.0,0,10,17,0,1,false,3
C10055,0,0.0,0,1,8,0,1,false,3
C10056,202908,92.2,10145,10,17,3,0,true,12
C10057,3698,3.9,184,15,22,0,2,false,3
C10058,0,0.0,0,15,22,0,0,false,3
C10059,0,0.0,0,1,8,0,1,false,3
C10060,0,0.0,0,10,17,0,1,false,3
C10061,34607,46.1,1730,5,12,3,0,true,9
C10062,2175,2.4,108,15,22,0,3,false,3
C10063,18848,26.9,942,1,8,3,1,true,9
C10064,70803,42.9,3540,5,12,1,0,true,12
C10065,7700,1.4,385,20,27,0,1,false,3
C10066,52010,80.0,2600,1,8,0,0,true,9
C10067,91677,34.0,4583,15,22,1,0,true,9
C10068,11210,5.6,560,15,22,0,1,true,6
C10069,53498,71.3,2674,5,12,0,3,false,9
C10070,644,1.6,32,10,17,3,0,false,3
C10071,0,0.0,0,10,17,0,3,false,3
C10072,2724,3.6,136,1,8,0,2,false,3
C10073,20169,57.6,1008,20,27,3,0,true,9
C10074,1123,1.2,56,15,22,0,1,false,3
C10075,31266,16.5,1563,5,12,0,1,false,9
C10076,0,0.0,0,5,12,0,0,false,3
C10077,2696,0.8,134,1,8,2,0,false,3
C10078,0,0.0,0,15,22,0,1,false,3
C10079,2639,1.4,131,15,22,2,1,false,3
C10080,22320,74.4,1116,5,12,0,3,true,3
C10081,0,0.0,0,1,8,0,0,false,3
C10082,3029,6.7,151,5,12,0,0,false,3
C10083,90957,37.9,4547,20,27,2,0,true,9
C10084,0,0.0,0,10,17,0,0,false,3
C10085,0,0.0,0,15,22,0,1,false,3
C10086,100679,71.9,5033,1,8,0,3,true,12
C10087,27920,62.0,1396,1,8,1,0,true,12
C10088,3977,7.2,198,1,8,0,3,false,3
C10089,2486,2.1,124,15,22,1,0,false,3
C10090,22132,9.8,1106,10,17,1,1,true,3
C10091,15803,39.5,790,20,27,1,2,true,6
C10092,13225,20.3,661,1,8,1,1,true,3
C10093,14236,5.3,711,10,17,0,0,true,3
C10094,20187,2.3,1009,10,17,1,0,true,6
C10095,49374,52.0,2468,15,22,0,1,true,12
C10096,4411,1.8,220,20,27,0,0,false,3
C10097,66289,7.6,3314,1,8,2,0,true,9
C10098,0,0.0,0,1,8,0,1,false,3
C10099,2395,2.8,119,1,8,0,2,false,3
C10100,0,0.0,0,10,17,0,0,false,3
C10101,1865,0.9,93,5,12,0,0,false,3
C10102,8162,23.3,408,1,8,3,0,false,3
C10103,3129,5.7,156,20,27,1,1,false,3
C10104,84948,21.0,4247,1,8,0,2,true,9
C10105,90250,95.0,4512,1,8,1,0,true,12
C10106,0,0.0,0,15,22,0,0,false,3
C10107,88720,32.3,4436,5,12,3,1,true,9
C10108,0,0.0,0,10,17,0,1,false,3
C10109,9237,16.8,461,20,27,0,1,false,3
C10110,137750,95.0,6887,10,17,2,1,true,12
C10111,69924,25.4,3496,20,27,0,0,true,12
C10112,3040,6.1,152,1,8,1,0,false,3
C10113,80654,94.9,4032,5,12,1,1,true,9
C10114,0,0.0,0,15,22,0,0,false,3
C10115,43100,12.1,2155,15,22,1,3,true,12
C10116,61750,95.0,3087,1,8,2,2,true,12
C10117,22879,18.3,1143,1,8,0,1,true,6
C10118,152,0.3,7,15,22,0,1,false,3
C10119,0,0.0,0,1,8,1,3,false,3
C10120,0,0.0,0,1,8,0,0,false,3
C10121,23429,14.2,1171,1,8,0,2,true,3
C10122,728,0.3,36,20,27,0,0,false,3
C10123,5137,0.6,256,5,12,1,0,false,3
C10124,1598,0.2,79,1,8,0,0,false,3
C10125,0,0.0,0,20,27,3,1,false,3
C10126,47500,95.0,2375,15,22,0,1,true,6
C10127,2594,1.5,129,1,8,0,3,false,3
C10128,160947,92.0,8047,1,8,0,2,true,12
